gene,name
AP3D1,V_719
AP3M1,V_720
AP3M2,V_721
AP3S1,V_722
AP4B1,V_723
AP4E1,V_724
AP4M1,V_725
AP5M1,V_726
AP5S1,V_727
AP5Z1,V_728
APAF1,V_729
APBA1,V_730
APBA2,V_731
APBB1,V_732
APBB1IP,V_733
APBB2,V_734
APBB3,V_735
APC,V_736
APC2,V_737
APCDD1,V_738
APCDD1L,V_739
APCS,V_740
APEH,V_741
APEX1,V_742
APEX2,V_743
APH1A,V_744
API5,V_745
APIP,V_746
APLF,V_747
APLNR,V_748
APLP1,V_749
APLP2,V_750
APMAP,V_751
APOA1,V_752
APOA4,V_753
APOA5,V_754
APOB,V_755
APOBEC1,V_756
APOBEC3B,V_757
APOBEC3D,V_758
APOBEC3F,V_759
APOBEC3G,V_760
APOBEC3H,V_761
APOBEC4,V_762
APOBR,V_763
APOC3,V_764
APOH,V_765
APOL1,V_766
APOL2,V_767
APOL3,V_768
APOL5,V_769
APOOL,V_770
APP,V_771
APPBP2,V_772
APPL1,V_773
APPL2,V_774
APTX,V_775
AQP1,V_776
AQP10,V_777
AQP12A,V_778
AQP12B,V_779
AQP3,V_780
AQP4,V_781
AQP5,V_782
AQP6,V_783
AQP7,V_784
AQP8,V_785
AQP9,V_786
AQR,V_787
AR,V_788
ARAF,V_789
ARAP1,V_790
ARAP2,V_791
ARAP3,V_792
ARC,V_793
ARCN1,V_794
AREL1,V_795
ARF5,V_796
ARFGAP1,V_797
ARFGAP2,V_798
ARFGAP3,V_799
ARFGEF1,V_800
ARFGEF2,V_801
ARFGEF3,V_802
ARFIP2,V_803
ARFRP1,V_804
ARG1,V_805
ARGFX,V_806
ARHGAP1,V_807
ARHGAP10,V_808
ARHGAP11A,V_809
ARHGAP11B,V_810
ARHGAP12,V_811
ARHGAP15,V_812
ARHGAP17,V_813
ARHGAP18,V_814
ARHGAP19,V_815
ARHGAP20,V_816
ARHGAP21,V_817
ARHGAP22,V_818
ARHGAP24,V_819
ARHGAP25,V_820
ARHGAP26,V_821
ARHGAP27,V_822
ARHGAP28,V_823
ARHGAP29,V_824
ARHGAP30,V_825
ARHGAP31,V_826
ARHGAP32,V_827
ARHGAP33,V_828
ARHGAP35,V_829
ARHGAP36,V_830
ARHGAP39,V_831
ARHGAP4,V_832
ARHGAP44,V_833
ARHGAP5,V_834
ARHGAP6,V_835
ARHGAP9,V_836
ARHGDIB,V_837
ARHGEF1,V_838
ARHGEF10,V_839
ARHGEF10L,V_840
ARHGEF11,V_841
ARHGEF12,V_842
ARHGEF15,V_843
ARHGEF16,V_844
ARHGEF17,V_845
ARHGEF18,V_846
ARHGEF19,V_847
ARHGEF2,V_848
ARHGEF25,V_849
